Vehicle,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Honda Insight,17,"3,788","4,726","2,216","1,168",583,666,722,3,-,"20,572","20,962","15,549","5,846","4,802","3,965","1,458",75,3,"12,510","23,686","123,317"
Toyota Prius,-,"5,562","15,556","20,119","24,627","53,991","107,897","106,971","181,221","158,886","139,682","140,928","136,463","223,906","222,140","194,108","180,603","134,155","87,725","59,995","47,862","2,242,397"
Honda Civic,-,-,-,"13,707","21,771","26,013","25,864","31,253","32,575","31,297","15,119","7,336","4,703","7,156","7,719","5,070","4,887",896,65,6,-,"235,437"
Ford Escape/Mercury Mariner,-,-,-,-,-,"2,993","15,960","22,549","25,108","19,522","16,480","12,088","10,089","1,441",-,-,-,-,-,-,-,"126,230"
Honda Accord,-,-,-,-,-,653,"16,826","5,598","3,405",198,1,-,-,-,996,"13,977","11,065","9,179","22,008","17,188","23,817","124,911"
Toyota Highlander,-,-,-,-,-,-,"17,989","31,485","22,052","19,391","11,086","7,456","4,549","5,921","5,070","3,621","4,015","5,976","16,864","14,513","18,248","188,236"
Lexus RX 450h,-,-,-,-,-,-,"20,674","20,161","17,291","15,200","14,464","15,119","10,723","12,223","11,307","9,351","7,722","8,561","8,568","15,656","16,116","203,136"
Toyota Camry,-,-,-,-,-,-,-,"31,341","54,477","46,272","22,887","14,587","9,241","45,656","44,448","39,515","30,640","22,227","20,985","22,914","26,043","431,233"
Lexus GS 450h,-,-,-,-,-,-,-,"1,784","1,645",678,469,305,282,607,522,183,91,70,50,40,7,"6,733"
Nissan Altima,-,-,-,-,-,-,-,-,"8,388","8,819","9,357","6,710","3,236",103,-,-,-,-,-,-,-,"36,613"
Lexus LS 600hL,-,-,-,-,-,-,-,-,937,980,258,129,85,54,115,65,47,40,-,211,187,"3,108"
Saturn Vue,-,-,-,-,-,-,-,-,"3,969","3,399","2,656",50,-,-,-,-,-,-,-,-,-,"10,074"
"Tahoe, Yukon, Escalade",-,-,-,-,-,-,-,-,-,"7,612","7,192","3,857","1,877","1,801","1,036",137,25,-,-,-,-,"23,537"
Chevrolet Malibu,-,-,-,-,-,-,-,-,-,"3,118","4,162",405,24,"16,664","13,779","1,018",59,"4,335","4,452","2,447","1,237","51,700"
Saturn Aura,-,-,-,-,-,-,-,-,-,310,527,55,-,-,-,-,-,-,-,-,-,892
Aspen & Durango,-,-,-,-,-,-,-,-,-,81,42,-,-,-,-,-,-,-,-,-,-,123
Silverado & Sierra,-,-,-,-,-,-,-,-,-,-,"1,598","2,393","1,165",940,169,30,3,-,1,-,-,"6,299"
Ford Fusion & Milan,-,-,-,-,-,-,-,-,-,-,"17,022","22,232","11,286","14,100","37,270","35,425","24,681","33,648","57,474","54,157","49,603","356,898"
Lexus HS 250h,-,-,-,-,-,-,-,-,-,-,"6,699","10,663","2,864",650,5,-,-,-,-,-,-,"20,881"
Mercedes S400,-,-,-,-,-,-,-,-,-,-,-,955,309,121,64,10,1,-,-,-,-,"1,460"
Mercedes ML450,-,-,-,-,-,-,-,-,-,-,-,766,1,22,11,20,10,-,-,-,-,830
Mercedes E320,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,59
Mazda Tribute,-,-,-,-,-,-,-,-,-,-,-,655,484,90,-,-,-,-,-,-,-,"1,229"
BMW X6 & Activehybrid 3&5&7,-,-,-,-,-,-,-,-,-,-,-,350,381,"1,040","1,456",308,63,64,-,-,-,"3,662"
Honda CR-z,-,-,-,-,-,-,-,-,-,-,-,"5,249","11,330","4,192","4,550","3,562","3,073","2,338",705,38,2,"35,039"
Lincoln MKZ,-,-,-,-,-,-,-,-,-,-,-,"1,192","5,739","6,067","7,469","10,033","8,403","7,219","5,931","4,407","5,147","61,607"
Porsche Cayenne,-,-,-,-,-,-,-,-,-,-,-,206,"1,571","1,180",615,650,-,-,-,-,-,"4,222"
Lexus CT 200h,-,-,-,-,-,-,-,-,-,-,-,-,"14,381","17,671","15,071","17,673","14,657","8,903","4,690",4,-,"93,050"
VW Touareg,-,-,-,-,-,-,-,-,-,-,-,-,390,250,118,30,16,1,-,-,-,805
Infinity Q70 (formerly M Hybrid),-,-,-,-,-,-,-,-,-,-,-,-,378,691,475,180,176,118,58,22,-,"2,098"
Hyundai Sonata,-,-,-,-,-,-,-,-,-,-,-,-,"17,366","20,754","21,559","21,052","19,908","18,961","10,338","4,526","2,636","137,100"
Buick LaCrosse,-,-,-,-,-,-,-,-,-,-,-,-,"1,801","12,010","7,133","7,353","4,042",765,506,"2,809","1,057","37,476"
Buick Regal,-,-,-,-,-,-,-,-,-,-,-,-,123,"2,564","2,893",662,186,45,6,-,-,"6,479"
Porsche Panamera S,-,-,-,-,-,-,-,-,-,-,-,-,52,570,113,-,-,-,-,-,-,735
Kia Optima,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,245","13,919","13,776","11,492","6,142","5,589","5,924","1,054","68,141"
Acura ILX,-,-,-,-,-,-,-,-,-,-,-,-,-,972,"1,461",379,22,1,-,-,-,"2,835"
Ford C-Max Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,935","28,056","19,162","14,177","11,877","10,221","6,101",38,"100,567"
Lexus ES Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,027","16,562","14,837","11,241","7,645","5,394","5,250","8,608","76,564"
Audi Q5 Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,270,854,283,97,18,-,-,-,"1,522"
Toyota Avalon,-,-,-,-,-,-,-,-,-,-,-,-,-,747,"16,468","17,048","11,956","8,451","4,990","8,008","6,552","74,220"
VW Jetta,-,-,-,-,-,-,-,-,-,-,-,-,-,162,"5,655","1,939",740,709,70,1,-,"9,276"
Mercedes E400h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,282,158,53,14,3,-,-,510
Infiniti Q50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,307,"3,456","4,012","1,998",870,300,129,"11,072"
Chevrolet Impala Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,565,272,35,1,-,-,929
Infiniti QX60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,676,"1,678","2,356","1,114",298,-,-,"6,122"
Nissan Pathfinder Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,334,"2,480","2,245",816,389,-,-,"6,264"
Subaru XV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,926","5,589","2,173",45,-,572,"16,305"
Acura RLX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,250,199,292,690,451,"2,015"
Lexus NX Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,354,"2,573","2,842","3,323","9,062","9,649","27,803"
Toyota RAV4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,494","45,070","50,559","48,122","92,525","237,770"
Acura NSX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,581,170,238,"1,258"
Kia Niro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,237","25,743","18,336","71,316"
Hyundai Ioniq Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,770","13,068","15,558","39,396"
Acura MDX Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,807","2,106","2,130","6,043"
GMC Sierra Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,643",114,"3,757"
Lexus LC500h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,37,139
Nissan Rogue Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,363","4,205","7,568"
Lexus LS 500h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,-,123
Lexus UX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,603","8,603"
Toyota Corolla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,299","16,299"
Total,17,"9,350","20,282","36,042","47,566","84,233","205,876","251,864","351,071","315,763","290,273","274,648","266,501","434,648","495,535","452,172","384,400","346,949","362,868","343,219","400,746","5,374,023"